beta,N,variance_over_N
0.1,1,0.0000000000000000000000000001135959703518257
0.1,2,0.0005092483947121507
0.1,3,0.00042569613005940697
0.1,4,0.000496038261541632
0.1,5,0.0002867017834237089
0.1,6,0.00035720628128234295
0.1,7,0.0002627339285976024
0.1,8,0.00023770898699519634
0.1,9,0.00021245435587490617
0.1,10,0.00018463200404167065
0.1,11,0.00023881146908578488
0.1,12,0.0002048985903246024
0.1,13,0.0002124458848452368
0.1,14,0.00012267706277215086
0.1,15,0.0001314127144353967
0.1,16,0.00015127904266486864
0.1,17,0.00012461787148953564
0.1,18,0.00013894470202672254
0.1,19,0.0001221906985815139
0.1,20,0.00006853364706074536
1,1,0.00000000000000000000000000000030814879110195774
1,2,0.018769696325887784
1,3,0.04535170519779955
1,4,0.043935513435970124
1,5,0.04755914004951688
1,6,0.024650729063757048
1,7,0.033394687248935316
1,8,0.022524418826730185
1,9,0.03612464621589093
1,10,0.021253687466475372
1,11,0.023299056340760547
1,12,0.01940683435022649
1,13,0.017373844758280323
1,14,0.014934452434337364
1,15,0.01697190598925893
1,16,0.019016810913028454
1,17,0.014397953509832249
1,18,0.016935421138234572
1,19,0.017720151421272826
1,20,0.019388198242483477
10,1,0
10,2,0.06756572694808426
10,3,0.09660191811388003
10,4,0.09809565032474137
10,5,0.08813483357428979
10,6,0.09370476056266362
10,7,0.10525574906441669
10,8,0.12183301294425501
10,9,0.07667216754289236
10,10,0.09357312115460496
10,11,0.08169622993884512
10,12,0.1129156505813715
10,13,0.11067032662183474
10,14,0.06553027875938798
10,15,0.09101524723984994
10,16,0.10247485759486494
10,17,0.06782501135024761
10,18,0.06449331916757091
10,19,0.07770173105477003
10,20,0.07349232464402757
