N,value
1,0
2,5.071201404300711
3,8.334207317383079
4,13.891255290478625
5,26.582861217999334
6,45.94005550137514
7,70.39399038600851
8,81.58618605273409
9,99.76068953620809
10,129.0780990448105
11,138.32024288647392
12,189.9424587827431
13,185.2334664255125
14,243.18150564647874
15,243.73906496725039
16,317.58027312539406
17,301.8183591507583
18,405.12153791641225
19,392.61131557878895
20,593.1364451802191
21,602.5429171493885
22,520.2618252674154
23,745.8662577844095
24,743.248426822774
25,807.9351961746839
26,837.3995249123561
27,839.5504770959495
28,931.3526060958998
29,1049.5426276222372
30,986.1244235615476
31,1285.5703772613867
32,1134.24110646592
33,1514.5933792310186
34,1360.0812047996335
35,1664.5232335930782
36,1523.43488746349
37,1503.885512403874
38,1897.7299586534127
39,1757.2619492592053
40,1965.3471689362477
